Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
P. McConnell,0.344,19-19,64,15,22,2,1,0,10,26,0.406,7,2,17,2,0.419,1,2,0-0
B. O'Brien,0.368,22-22,76,17,28,5,1,1,13,38,0.500,12,0,17,2,0.455,0,0,3-4
C. Maher,0.406,21-21,69,16,28,10,2,4,24,54,0.783,9,1,17,0,0.469,2,0,4-4
A. Russell,0.250,21-21,68,10,17,2,0,0,11,19,0.279,6,1,8,1,0.308,3,0,7-8
D. Nastri,0.200,11-6,15,2,3,0,0,1,3,6,0.400,1,1,5,0,0.278,1,0,1-1
H. Suarez,0.353,9-1,17,4,6,1,1,0,3,9,0.529,0,0,3,0,0.353,0,0,4-4
C. Jung,0.156,17-14,45,7,7,2,1,1,7,14,0.311,3,2,18,2,0.231,2,0,5-7
M. Panker,0.107,17-9,28,5,3,2,0,0,4,5,0.179,3,3,8,0,0.257,1,0,3-3
P. Villamil,0.091,10-3,11,1,1,1,0,0,2,2,0.182,1,2,3,0,0.286,0,0,0-1
M. Forrester,0.282,17-12,39,12,11,3,0,0,6,14,0.359,4,3,11,0,0.391,0,0,7-7
J. Katz,0.244,17-11,41,5,10,2,0,0,6,12,0.293,1,0,6,2,0.262,0,0,1-1
R. Hecht,0.208,16-11,24,4,5,0,0,0,1,5,0.208,6,1,9,0,0.387,0,0,2-2
T. Durbin,0.000,6-1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
F. Driscoll,0.000,8-2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
J. Doyle,0.000,6-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
M. Scibilio,0.000,9-1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
C. Garfield,0.000,5-2,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
J. Pletter,0.000,5-5,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
T. McGee,0.150,17-14,40,4,6,1,0,1,5,10,0.250,2,0,11,1,0.190,0,1,1-1
C. Furlong,0.563,8-6,16,6,9,1,0,0,1,10,0.625,4,1,2,0,0.667,0,2,4-4
Q. Burke,0.500,3-0,2,0,1,0,0,0,0,1,0.500,0,1,1,0,0.667,0,0,0-0
J. Erro,0.000,6-1,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
N. Thompson,0.000,6-4,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
A. Prakash,1.000,2-0,1,0,1,0,0,0,0,1,1.000,0,0,0,0,1.000,0,0,0-0
P. Carbone,0.000,6-0,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
N. Reichman,0.171,15-10,35,5,6,1,0,1,4,10,0.286,4,2,13,0,0.293,0,0,0-0
E. Cohen,0.000,8-6,0,0,0,0,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0-0
C. Palmeri,0.265,18-18,49,11,13,2,0,0,8,15,0.306,11,0,14,0,0.400,0,0,3-3
