Player,AVG,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT
M. Perales,0.208,13-13,48,11,10,1,1,0,6,13,0.271,5,0,16,0,0.278,1,1,0-0
J. Palmo,0.326,13-13,43,16,14,0,1,2,9,22,0.512,6,5,4,0,0.463,0,0,4-Apr
D. Qin,0.404,13-13,47,14,19,6,0,2,13,31,0.66,1,2,7,0,0.423,2,0,4-Mar
L. Padian,0.302,13-13,43,5,13,2,0,0,12,15,0.349,6,3,9,1,0.423,0,0,3-Mar
C. Murphy,0.314,12-Dec,35,6,11,3,0,0,8,14,0.4,5,4,8,0,0.444,1,1,0-1
T. Marshall,0.267,13-13,45,6,12,1,0,0,7,13,0.289,2,0,3,0,0.298,0,0,1-Jan
A. Park,0.211,7-Aug,19,3,4,0,0,0,1,4,0.211,3,2,6,0,0.375,0,0,0-0
J. Reydel,0.256,13-13,39,6,10,3,1,0,7,15,0.385,2,1,10,0,0.31,0,1,3-Mar
C. New,0.2,6-Sep,20,2,4,0,0,0,1,4,0.2,4,0,8,0,0.333,0,0,0-0
A. Dai,0.243,13-13,37,8,9,1,2,0,5,14,0.378,6,2,8,0,0.378,0,0,1-Jan
I. Donahue,0,1-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
J. Ribitzki,0,1-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
G. Lancaster,0,Jan-00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
B. Yared,0,1-Jan,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
S. Kenneally,0,2-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
N. Giattino,0,4-Jun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
S. Nambiar,0,5-May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0-0
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
